idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
27,3.4414803364806485,-4.01327997586002,3693,3694,89615.81562351681,43147.38957311531,89622.10574811306,43151.390545981776
28,3.456584500598049,-4.0182821604792185,3682,3683,89615.26892211135,43148.21960634913,89621.56980362216,43152.24111400021
29,3.4306677419586933,-4.030942882724979,3673,3668,89614.75583456329,43149.07014618688,89621.03836498168,43153.09574485743
30,3.3766775468631876,-4.037883206009802,3664,3659,89614.26502272203,43149.93444941082,89620.50011554293,43153.946846284605
31,3.2528136906272542,-4.020357047730348,3649,3651,89613.82962242803,43150.83809053456,89619.94148855103,43154.78069184383
32,3.2320979174069953,-4.004395234014233,3640,3638,89613.30270446715,43151.69296473245,89619.38968352409,43155.60646943935
33,3.2247429204593008,-4.015189772046188,3628,3628,89612.7562776522,43152.55963174404,89618.87683476508,43156.426853746976
34,3.2325709116094616,-4.0138997874286435,3616,3618,89612.18772161144,43153.45772949547,89618.38912211887,43157.206591901384
35,3.2709268242714797,-3.989653874024936,3604,3609,89611.59268459455,43154.397756059036,89617.93245718595,43157.93658574777
36,3.360970508425843,-3.9335679713567604,3592,3600,89610.9669893931,43155.3859757284,89617.50719022658,43158.61646558147
37,3.5287213707703278,-3.838164399763941,3580,3592,89610.30374824155,43156.43333820619,89617.1107294238,43159.25043123635
38,3.7300695758032676,-3.7050071653118155,3565,3583,89609.66441392041,43157.582045125004,89616.7454680207,43159.84898997989
39,3.96973616198418,-3.553131414530563,3557,3574,89609.07380117335,43158.85340156267,89616.43044091885,43160.42610249696
40,4.083788094419481,-3.3390120845617473,3551,3544,89608.73394265812,43160.288495634995,89616.12429375187,43160.98180163393
41,4.118323988181175,-3.4005087274639463,3538,3540,89608.65509516257,43161.84296190584,89616.16709984232,43161.52260101992
42,4.24360136812048,-3.3922225466980285,3527,3536,89608.72424639539,43163.49546344309,89616.21052030439,43161.99163173126
43,4.23171422425998,-3.520048660002746,3518,3509,89609.22163471267,43165.162066846926,89616.43858520749,43162.33267585785
44,4.1881069267970235,-3.5379786252585124,3505,3504,89610.06933737028,43166.74648301954,89616.6008172271,43162.61947819307
45,4.235685724364786,-3.497094150458828,3492,3498,89611.1643323166,43168.22720301864,89616.74653292638,43162.8760423086
46,4.206515041814117,-3.4933575452599355,3482,3471,89612.60268980484,43169.409738130475,89616.95832968915,43163.06021538814
47,4.218669444689792,-3.519707458750492,3471,3467,89614.22747598156,43170.3092454197,89617.21907693303,43163.1725234238
48,4.281189662368285,-3.485687624405585,3456,3462,89615.98775007874,43170.909347384666,89617.48557439375,43163.288264449206
49,4.281753323385514,-3.412748474588972,3444,3456,89617.83643972874,43171.08304884979,89617.78217683638,43163.388738389614
50,4.348336163531678,-3.514988587598619,3434,3449,89619.65718051481,43170.95687444805,89618.10106835193,43163.24906081004
51,4.458759758981441,-3.561044836537358,3428,3401,89621.3707552695,43170.563399096995,89618.4618946115,43163.08972560783
52,4.271809804532179,-3.5107784172629573,3410,3393,89622.77857749914,43169.67715720386,89618.90309211574,43162.9281356101
53,4.176190617600436,-3.6864961103588962,3404,3388,89624.00453021124,43168.743780017765,89619.25299034579,43162.479220058034
54,3.876645606771765,-3.836187549850298,3396,3381,89624.8960537461,43167.59148386272,89619.61158440544,43161.97346115988
55,3.684488707645551,-4.043910598681434,3381,3367,89625.67800919658,43166.50835008431,89619.9225602041,43161.35054408437
56,3.5472063504529627,-4.157636577678042,3373,3361,89626.36461779295,43165.46866051744,89620.29993115172,43160.71637890848
57,3.4796374462604733,-4.232787551297445,3358,3354,89627.00586030667,43164.488048973486,89620.71162019015,43160.03113965216
58,3.4581673229443557,-4.280153192440666,3345,3345,89627.61543877303,43163.55190498007,89621.15209111037,43159.296703293854
59,3.4659439485273436,-4.2984185389034995,3333,3335,89628.20415669808,43162.644878672676,89621.61946446335,43158.53061652617
60,3.4414115076348653,-4.281378328492632,3323,3323,89628.7347932785,43161.72971769003,89622.11701044122,43157.74895982607
61,3.4306041507486844,-4.24962910898244,3313,3312,89629.25633424232,43160.82757906142,89622.62613868799,43156.951177400704
62,3.4302780341779955,-4.192272901619238,3299,3303,89629.77236094275,43159.93321137318,89623.15475031274,43156.15028759409
63,3.454809285248696,-4.116735822586667,3288,3294,89630.29946723697,43159.051663624385,89623.69609929487,43155.3470952094
64,3.511396952070123,-4.0496160914342765,3278,3282,89630.84639048413,43158.18460508079,89624.2263700984,43154.53162707147
65,3.574701686707656,-3.983449029494605,3266,3271,89631.39225895796,43157.31946976199,89624.75231143815,43153.70882727305
66,3.6293981503095063,-3.910959514352479,3255,3262,89631.92437702077,43156.449236182765,89625.28070560399,43152.88291821925
67,3.6203081459579445,-3.8261029349124525,3248,3246,89632.39449660433,43155.54886480046,89625.8175833219,43152.05698140312
68,3.601767383308955,-3.765317364890503,3233,3238,89632.8510023246,43154.64505696805,89626.33150481097,43151.214300512576
69,3.5827380756546097,-3.704791216521195,3226,3225,89633.30260226227,43153.74253002883,89626.84418087818,43150.36660402107
70,3.5605152655436267,-3.641043868430475,3216,3214,89633.74772593215,43152.84051851602,89627.35943147742,43149.51604142633
71,3.538016075333154,-3.5704716241851835,3201,3206,89634.18983285621,43151.940765312844,89627.88121560018,43148.66480046396
72,3.550111164637965,-3.4954286732886306,3193,3193,89634.66072477518,43151.05975827896,89628.40817945424,43147.8124041841
73,3.5568829261342665,-3.4365000863107236,3178,3184,89635.1258279569,43150.17950459048,89628.92280850645,43146.94996040343
74,3.559065252629745,-3.3648989744539746,3169,3174,89635.58661179319,43149.30077626059,89629.45138130394,43146.09137951639
75,3.5548802628934273,-3.2697261004914777,3161,3159,89636.04231193392,43148.42317368356,89630.00426406643,43145.242414345754
76,3.5440759621576516,-3.1732849217122157,3145,3152,89636.49354619894,43147.5469541859,89630.56242051082,43144.39343467337
77,3.576155190731234,-3.074380223677325,3136,3142,89636.98481659783,43146.69580303316,89631.12756393176,43143.54584866776
78,3.602620377288387,-3.049576332641159,3128,3126,89637.47392039098,43145.84754348129,89631.63312401903,43142.66370636093
79,3.653252435433628,-3.0661550054007276,3113,3118,89637.98557211172,43145.02087691388,89632.11085928357,43141.75925376847
80,3.734790416264944,-2.985075974921343,3103,3109,89638.52387715194,43144.228357349595,89632.68837926583,43140.896155564486
81,3.8003397139811392,-2.9190627581816404,3092,3097,89639.04352770583,43143.46370472447,89633.27747902396,43140.013624699124
82,3.7848206404786726,-2.8764817020957896,3085,3082,89639.48449386234,43142.717358065056,89633.89110129743,43139.0997748229
83,3.727669594777453,-2.9031196052381705,3077,3070,89639.8859305111,43142.02204693252,89634.5164231254,43138.1315770573
84,3.6292078441992777,-3.012974113755457,3068,3059,89640.25677399721,43141.37933283814,89635.17166156565,43137.10613582409
85,3.5016324478464917,-3.178370047598327,3058,3045,89640.61554121875,43140.79466036173,89635.91533974794,43136.04802581998
86,3.3617726506679952,-3.4451231229803048,3052,3039,89640.98060939061,43140.27802134744,89636.76065929972,43134.93706157379
87,3.3208380140744054,-3.8430366134019454,3048,3023,89641.4112745032,43139.92611993597,89637.75342985993,43133.76647122489
88,3.312754169523575,-4.0748814054555265,3031,3015,89641.84808274297,43139.69558313702,89639.08471904437,43132.84423433128
89,3.17356987169732,-4.147071709084004,3029,3007,89642.22684777825,43139.42956864593,89640.6894140746,43132.272188485484
90,3.231103599763537,-4.17003966268156,3026,2996,89642.626465259,43139.436417106896,89642.45303791475,43132.03730604221
91,3.4264399626605884,-4.105558587874214,2985,2981,89642.9354203344,43139.651961523945,89644.27620675709,43132.24026172336
92,3.3290597306316974,-4.141946405547655,2963,2970,89643.2353660756,43139.63759391567,89646.08055676435,43132.72956795803
93,3.2730688060393707,-4.090178745876109,2936,2959,89643.50750573339,43139.72067132374,89647.71790229663,43133.67997804473
94,3.22726986336512,-4.17937073733434,2933,2947,89643.75879654377,43139.8832658175,89649.19629426858,43134.854156206384
95,3.14058274680119,-4.179555874027266,2951,2938,89644.03867283792,43140.11713206827,89650.30207913907,43136.328442197766
96,3.0900255487668487,-4.058506390062117,2913,2919,89644.25813235155,43140.46367890183,89650.96282301434,43137.98403537973
97,3.147380194345175,-3.9952522845208245,2916,2914,89644.31645307427,43140.9065146149,89651.34882482508,43139.65633611305
98,3.0405241399825944,-3.9572694330785247,2919,2898,89644.46392850889,43141.38576055192,89651.46120919328,43141.30103797477
99,3.166035719771551,-3.7638625265499455,2875,2892,89644.30047823764,43141.93165280696,89651.17090007228,43142.83762936211
100,3.343378723306185,-3.47521781684613,2869,2884,89644.006593608,43142.48844325207,89650.6084344658,43144.19400945299
101,3.453179026949929,-3.187124582659215,2857,2870,89643.70066432844,43143.08146303515,89649.93079044814,43145.37910542692
102,3.5470682978633565,-2.9325992103475462,2852,2861,89643.33331846265,43143.70900940653,89649.21543190628,43146.42688218744
103,3.6223454212770463,-2.866454318141257,2844,2845,89642.91015492001,43144.378013464004,89648.62983554514,43147.44228753869
104,3.6617797385255844,-2.8701341994354808,2832,2835,89642.45351096576,43145.10139272301,89648.08392980539,43148.41262865288
105,3.6757686747651612,-2.8647788621237313,2822,2824,89641.9653913416,43145.875356786506,89647.52565227673,43149.31952002531
106,3.676052157448956,-2.877042972062802,2813,2811,89641.45222732423,43146.6892856927,89646.98803396894,43150.19612195475
107,3.6720183775644433,-2.895813392665975,2801,2801,89640.9255040749,43147.52359513945,89646.46179568212,43151.057132941976
108,3.668486398865932,-2.9308698061049236,2790,2791,89640.39120713079,43148.36569951056,89645.95232734371,43151.91892963223
109,3.6649994930382785,-2.979895099678125,2781,2777,89639.85345752531,43149.21448642321,89645.45847688436,43152.78357343994
110,3.663267940523898,-2.9695217129815576,2766,2769,89639.31306520622,43150.06859317296,89644.9191405397,43153.613422921066
111,3.669145671781198,-2.902683683908107,2756,2760,89638.76636631435,43150.92598657719,89644.3378306736,43154.4113453785
112,3.6784992860917995,-2.8323188326725974,2747,2747,89638.21843892617,43151.789734757476,89643.76035541491,43155.207031087535
113,3.690685902742369,-2.7961399521931067,2734,2737,89637.67182975028,43152.66004993603,89643.21952328036,43156.02189558515
114,3.6977387061571427,-2.7598040107494413,2724,2725,89637.13552525696,43153.539667710065,89642.68614545878,43156.83973942381
115,3.7130336860152724,-2.7380380211957314,2713,2714,89636.60111599311,43154.41718310086,89642.17112996979,43157.671606317206
116,3.73618767102863,-2.7096794090382614,2701,2705,89636.06974467602,43155.28745546217,89641.65289692479,43158.5088857937
117,3.772731494390796,-2.650410516849924,2690,2694,89635.53538907687,43156.1446921772,89641.10775156369,43159.3393016388
118,3.809781384685417,-2.5779271887919473,2680,2682,89635.00723772544,43156.99279031698,89640.5482753329,43160.170796461156
119,3.844828818500091,-2.5219406625898917,2669,2671,89634.48528437463,43157.830737592565,89639.99781692527,43161.01628911522
120,3.8746055207271306,-2.4706048077999476,2658,2661,89633.969888902,43158.65845719726,89639.44348395162,43161.868044607814
121,3.9005445821865,-2.4268849225592515,2647,2650,89633.45697402977,43159.47443028322,89638.88564513132,43162.72495242724
122,3.9206432537640845,-2.393630034241254,2637,2638,89632.94566307792,43160.279592035426,89638.32491446339,43163.58620687352
123,3.928421192748498,-2.3725769076897367,2627,2627,89632.43981071282,43161.076181869335,89637.76047942102,43164.451542821786
124,3.9213434142113286,-2.3638799850482566,2616,2616,89631.9401141609,43161.863673347216,89637.18968360104,43165.319979738684
125,3.897372291940937,-2.3740063064155876,2607,2604,89631.44627681647,43162.6420375836,89636.61467017629,43166.19420587945
126,3.8541496196295393,-2.4056528241206268,2597,2593,89630.95826464894,43163.41132252348,89636.03422674733,43167.07461822688
127,3.789013547706466,-2.463564459953257,2586,2582,89630.47551625785,43164.17276871491,89635.44812862187,43167.963264463375
128,3.7007492824933133,-2.55132933350397,2577,2569,89629.99619056883,43164.926926889086,89634.85497830497,43168.86147498966
129,3.6011341637445944,-2.618542532618926,2568,2559,89629.50821942098,43165.66627151325,89634.21177749947,43169.73578249242
130,3.459342862611231,-2.610540406653578,2552,2552,89629.03158715511,43166.41116322495,89633.47675702811,43170.54443646812
131,3.311496539142577,-2.7569647301147584,2546,2534,89628.53602836751,43167.13749738948,89632.81520648488,43171.44038674621
132,3.096711645575585,-2.987802266229494,2539,2522,89628.0599899231,43167.889048207544,89632.1632871625,43172.38173797071
133,2.84604636697613,-3.371245180586488,2527,2506,89627.5742186653,43168.646223911834,89631.55459370524,43173.42234458962
134,2.5722967654984177,-3.917765648742156,2519,2495,89627.06037943721,43169.40419529387,89630.98071526705,43174.57641697532
135,2.2217239463967586,-4.278295975832429,2509,2487,89626.54196929949,43170.210915856565,89630.23642676073,43175.55892885734
136,1.8126606369399771,-4.434051606025328,2467,2481,89625.99681680507,43171.06063211259,89629.35644753842,43176.32696814269
137,1.6554373305255223,-4.2218151279979,2462,2478,89625.26350616601,43171.69699266646,89628.30579773537,43176.7255668648
138,1.6277011551730587,-3.679255461507984,2458,2472,89624.42664215031,43172.22618758779,89627.1521370579,43176.77980878855
139,1.9143233539351983,-3.069220843451846,2438,2452,89623.39105623563,43172.51639229085,89626.03221461402,43176.7425010433
140,2.4039505836595114,-2.791655704382878,2426,2446,89622.20356460806,43172.70265418154,89625.15208854394,43176.980566207276
141,2.887800292267389,-2.582694474391799,2421,2439,89620.95735553994,43173.018060519214,89624.37476285601,43177.28978619254
142,3.2779841743816904,-2.6385296921496297,2416,2432,89619.72005855918,43173.58234943427,89623.84896523756,43177.819950875426
143,3.9191671637243566,-2.650034855235318,2400,2411,89618.26962743019,43174.22016755298,89623.40381404164,43178.31828212003
144,4.456219349939579,-2.590559222966659,2385,2409,89616.91034205868,43175.2498627711,89623.00205222979,43178.79220033926
145,4.686252181767646,-2.5031035011782077,2375,2408,89615.9459796112,43176.73463034415,89622.67325014445,43179.27050619057
146,4.699240437422467,-2.440541630303012,2363,2404,89615.44383569203,43178.478834107365,89622.46012221402,43179.80103356885
147,4.88342572505527,-3.018572569712593,2349,2351,89615.08047270308,43180.24666176415,89622.98100946088,43180.39863541009
148,4.954378066378908,-3.152182256084207,2337,2346,89615.11430970098,43182.00336895592,89623.1470448118,43180.911816437256
149,5.0684491834241205,-3.280699637979468,2330,2314,89615.35716724847,43183.70340799822,89623.38554108975,43181.41135662302
150,4.983538427827757,-3.3147616389001953,2318,2291,89616.00171043373,43185.24172376484,89623.60842506262,43181.92514773644
151,4.597173302293242,-3.5899067997047327,2306,2285,89617.07477538541,43186.48605283443,89624.113167414,43182.30402961016
152,4.202804664179988,-3.8320264795273107,2297,2277,89618.25531362066,43187.52398777174,89624.6265148541,43182.62844833764
153,3.911784023903772,-4.010921258129485,2284,2268,89619.4332467103,43188.441640269375,89625.12097230375,43182.92629471723
154,3.7623897592441353,-4.1049732327441415,2273,2263,89620.5855883061,43189.30014187298,89625.58393119629,43183.22461977197
155,3.746894105365164,-4.143030223599988,2258,2256,89621.73645345664,43190.12497725487,89626.04246133043,43183.5136837273
156,3.8552163288904713,-4.121660282281976,2237,2251,89622.9151447338,43190.92736393444,89626.49849156105,43183.800640564936
157,4.055870010394209,-4.009824457014424,2228,2247,89624.16160513062,43191.687171439524,89626.948256792,43184.11815566733
158,4.280567704551423,-3.804693077962168,2217,2242,89625.51510714738,43192.33331267088,89627.40959205313,43184.47313653652
159,4.536118067607327,-3.5036352618066706,2206,2236,89626.97683147078,43192.85390143034,89627.90559028016,43184.867973765264
160,4.6292950603012875,-3.182246681566095,2198,2216,89628.5462200384,43193.031230165456,89628.46503911482,43185.22011026863
161,4.589620097188206,-2.9464556506256394,2186,2190,89630.14740423369,43192.87025805055,89629.07390625136,43185.41103290589
162,4.639624708624474,-2.8418937768372956,2173,2181,89631.75180057321,43192.57746468186,89629.68505971806,43185.38707518713
163,4.577088699528095,-2.7262844712915815,2164,2156,89633.25543039356,43191.96494340081,89630.30826608623,43185.2826172925
164,4.474007271040582,-2.804697973397905,2154,2144,89634.60217501405,43191.14649802968,89630.8458702226,43184.911939156016
165,4.363131013203459,-2.897044617973906,2142,2126,89635.75383819331,43190.22364743784,89631.36394599783,43184.44100126955
166,4.116713178128807,-3.1609548802261944,2133,2114,89636.62227032744,43189.18049625578,89631.77924474498,43183.748226419404
167,3.8906033924759793,-3.439838780771125,2125,2108,89637.33413160921,43188.193615431024,89632.19424843151,43182.96705027072
168,3.6811342938753095,-3.7820280385798166,2117,2092,89637.93463199282,43187.28507105343,89632.60757080003,43182.058101467825
169,3.5148133396289154,-4.128267266880645,2103,2086,89638.4823466217,43186.487322719455,89633.09615733621,43181.06462540737
170,3.305645309850445,-4.432641466272623,2098,2078,89638.95172876192,43185.741736001924,89633.73866777842,43180.0229006824
171,3.091461615824655,-4.560073363452474,2073,2069,89639.39405923335,43185.07676737214,89634.66269955375,43179.06343026856
172,2.853903889795852,-4.609576793758768,2062,2054,89639.82144268553,43184.474962809436,89635.82496465619,43178.17165357739
173,2.70824439014382,-4.470673176568649,2033,2044,89640.32219142816,43184.028422920324,89637.26366739416,43177.533633611725
174,2.636405585516079,-4.34143614300649,2049,2038,89640.86763382265,43183.73662797532,89638.82644734408,43177.064009827394
175,2.6886304670240895,-4.076722419735552,2016,2023,89641.4673133364,43183.655572180876,89640.46893803617,43176.96429080566
176,2.714108695815986,-3.956111338328609,2008,2012,89642.0877506082,43183.63578326346,89642.03273134095,43176.96579014621
177,2.748386078562194,-3.8951913082752623,1995,2000,89642.73988483706,43183.70949010074,89643.51672215719,43177.11148704883
178,2.7685077505071334,-3.86626901484368,1988,1984,89643.42392741304,43183.85284586011,89644.9111528258,43177.38690251844
179,2.780125187953122,-3.921704637487762,1975,1972,89644.13413754056,43184.06729988498,89646.23210358979,43177.70231273138
180,2.9092516612255057,-4.047896333271491,1961,1966,89644.81994807401,43184.46460483481,89647.49728625067,43178.043252289965
181,2.978734642427152,-4.228243325295444,1958,1950,89645.53334658264,43184.868529357635,89648.71304032477,43178.400911625155
182,3.1376631974717184,-4.311028670337323,1940,1945,89646.21473467388,43185.40707199288,89649.81651968377,43178.88709075946
183,3.224846400711055,-4.414706414265714,1926,1932,89646.94235533988,43185.92981467389,89650.86181112567,43179.372327841564
184,3.280487309886164,-4.450475144261826,1920,1918,89647.7072245209,43186.4668529991,89651.8084250699,43179.913385632564
185,3.302590927270919,-4.430257324415273,1906,1911,89648.52027149788,43187.00970226169,89652.66709172523,43180.48277158291
186,3.3096686509957185,-4.355589351094988,1898,1897,89649.3795383503,43187.56390834437,89653.44477106215,43181.06544212247
187,3.329619153385004,-4.2620231242118285,1881,1888,89650.27962011292,43188.141397640284,89654.16920422149,43181.62187557702
188,3.385653241548498,-4.13463960252056,1868,1882,89651.22065293293,43188.749182191874,89654.84209826047,43182.15828405883
189,3.4934811346031722,-3.9536116121849387,1858,1875,89652.2098961312,43189.386328020664,89655.46335137925,43182.687505786256
190,3.6792596651344684,-3.719465971023207,1849,1865,89653.25973870752,43190.06193014262,89656.0500305534,43183.209528194835
191,3.9562140689451697,-3.491260506857355,1831,1853,89654.39528943994,43190.769808220124,89656.63461268718,43183.6669701288
192,4.400158805580391,-3.2339479625414618,1826,1816,89655.64509813637,43191.560334499416,89657.21530134285,43184.089454495195
193,5.014207448873688,-3.1199247112929682,1823,1826,89657.08288931666,43192.400487608866,89657.81846603173,43184.299683149104
194,5.661269355521496,-3.0204872368209528,1811,1836,89658.78971053322,43193.08988010288,89658.39747155567,43184.41698865232
195,5.8310144632810035,-3.183178989916567,1795,1797,89660.69095294895,43193.03022402388,89658.88931487557,43184.19790927268
196,5.7028036434966145,-3.355333237523625,1782,1790,89662.60012152404,43192.33216284381,89659.23806798106,43183.92107256196
197,4.895283232947292,-3.3927296637878737,1770,1783,89664.07095071099,43190.66227101017,89659.4977463787,43183.75018305416
198,4.3341426778934995,-3.4048112974616664,1762,1772,89665.26299305241,43188.944956703046,89659.6817693422,43183.58386068364
199,4.178258536366135,-3.3716003955203018,1744,1723,89666.33637033969,43187.28181719693,89659.84252097341,43183.43080560262
200,4.464854460707944,-3.3882979646053615,1734,1711,89667.39879116423,43185.60144498015,89659.91894298235,43183.208983028286
201,5.105676271472624,-3.3729873559251007,1726,1735,89668.42402103213,43183.79743419503,89659.99202462885,43182.909079782825
202,5.875520029250715,-3.3386300335887378,1716,1700,89669.21146180519,43181.80078264027,89660.02616496422,43182.529400045954
203,5.875520029250715,-3.1736038361013197,1704,1695,89668.89112068538,43179.862809055296,89660.10942480824,43182.04648949247
204,5.735096854552583,-3.003939132167716,1685,1689,89668.17463609585,43178.14413510127,89660.09770973533,43181.480901581555
205,5.117522180432782,-2.925878573162942,1665,1684,89666.85308258652,43176.868005682096,89659.89921927088,43180.91029224671
206,4.8352854868700685,-3.152259056422819,1663,1680,89665.72089344685,43175.68343647992,89659.3632047847,43180.51879196906
207,4.495218578430506,-3.2032263988732264,1660,1676,89664.46857033981,43174.743941356326,89658.90801613928,43180.06806495101
208,4.143928462426402,-3.1711516639276667,1644,1665,89663.17202975316,43174.00850300273,89658.44234412051,43179.58886778215
209,3.9619295077740664,-3.19812316326645,1635,1668,89661.96208436794,43173.31030785549,89657.87327100904,43179.188059089436
210,3.901121323014288,-3.661373117471423,1621,1618,89660.79540250472,43172.646101955914,89657.0329416284,43179.2062246923
211,3.942443134682449,-3.6276617410868703,1604,1613,89659.65182926484,43172.004807941805,89656.41884945374,43178.84983017487
212,3.980855585509222,-3.4901734542098755,1587,1600,89658.4868450234,43171.46530571742,89655.78942564536,43178.43238570916
213,4.083431584267922,-3.28682450732396,1582,1593,89657.33656740886,43170.955101113344,89655.11593456691,43177.982864956626
214,4.160174491694761,-2.967270326828329,1577,1571,89656.19129119371,43170.54941260445,89654.39962815764,43177.44799312556
215,4.001835333743554,-2.8187346600475687,1558,1566,89655.04715346779,43170.44150591652,89653.55796156464,43177.097516922804
216,3.935036267552462,-2.6411758098518296,1554,1550,89654.01158746074,43170.29022983992,89652.64789108015,43176.723494755075
217,3.8326508702405286,-2.589626881047443,1542,1536,89653.05902238395,43170.19305253542,89651.65007270077,43176.45887349559
218,3.693438183034267,-2.7033139374748885,1537,1525,89652.1861596952,43170.129561524314,89650.55801364653,43176.31564090753
219,3.5562954196935297,-2.92248761964518,1526,1511,89651.39665465767,43170.04540684005,89649.37239650985,43176.1998368398
220,3.393513822073414,-3.261117950427985,1519,1494,89650.68159572584,43169.956404936995,89648.06972776151,43176.07704785784
221,3.2023051489614938,-3.8204781394969927,1513,1488,89650.0272871862,43169.853437251826,89646.56876378952,43175.96556462544
222,3.0522424223907065,-4.3010184332463535,1502,1484,89649.47194674924,43169.67366448384,89644.9983677313,43175.50954796291
223,2.9514931448342443,-4.698038393165044,1487,1466,89649.0241816369,43169.41133919665,89643.44256886486,43174.64210698102
224,2.767882943529479,-4.811350549363596,1497,1457,89648.59093955706,43169.159796651686,89642.19581966421,43173.22762431468
225,2.5954781310320265,-4.85570763178305,1476,1447,89648.225443011,43168.815959666455,89641.2807791434,43171.51629539336
226,2.7078062125713442,-4.896589741373666,1437,1432,89648.19929458089,43168.3059196731,89640.72000419421,43169.679620199466
227,2.8572138867628203,-4.9103176268017945,1413,1421,89648.30444645241,43167.789130831894,89640.53698381201,43167.82184083259
228,2.889927874477335,-4.811701626789408,1386,1407,89648.38198402528,43167.2582123181,89640.77523870014,43166.053005890484
229,3.125584580938205,-4.688192713067994,1372,1398,89648.7412767226,43166.769214308486,89641.28571538185,43164.43047090774
230,3.4686020319669475,-4.457628636869862,1352,1388,89649.2621421709,43166.38250626596,89642.09108930455,43163.00594982432
231,3.971789261619712,-4.262741156575633,1341,1378,89649.9583487964,43166.16377905598,89643.01195130192,43161.741669485105
232,4.333522377659241,-3.7939380690912445,1335,1368,89650.5483789531,43165.96754483294,89644.25844206676,43160.82047699977
233,4.556441065519229,-3.256029896941546,1329,1358,89651.05300515922,43165.74859164399,89645.59675157342,43160.157169700804
234,4.7174027551312,-2.8219352845881223,1324,1348,89651.54151590038,43165.53567057853,89646.87596227892,43159.61332075076
235,4.824238288075013,-2.5476146268996933,1319,1335,89652.02670028835,43165.32381383605,89648.0702392077,43159.10363448837
236,4.892411034518273,-2.407865074865431,1314,1321,89652.52229343534,43165.120735212266,89649.2144401524,43158.612883190915
237,4.915759310771492,-2.421433640819165,1308,1306,89653.02584851542,43164.91978969917,89650.32386385188,43158.09822981254
238,4.887378982194164,-2.5525671029140398,1302,1291,89653.53512791467,43164.714760148934,89651.44164815445,43157.57542262765
239,4.816311845122589,-2.787183079488085,1298,1283,89654.0533153759,43164.51515861547,89652.59481528787,43157.05285920029
